team_code,scorer
AUT,Florian Grillitsch
AUT,Paul Wanner
AUT,Michael Gregoritsch
AUT,Patrick Wimmer
AUT,Sasa Kalajdzic
USA,Matt Turner
USA,Joseph Scally
USA,Miles Robinson
USA,Mark McKenzie
USA,Auston Trusty
USA,Weston McKennie
USA,Sebastian Berhalter
USA,Giovanni Reyna
USA,Brenden Aaronson
USA,Ricardo Pepi
USA,Timothy Weah
USA,Chris Brady
USA,Matt Freese
USA,Alex Freeman
USA,Antonee Robinson
USA,Chris Richards
USA,Sergiño Dest
USA,Tim Ream
USA,Malik Tillman
USA,Max Arfsten
USA,Tyler Adams
USA,Alex Zendejas
USA,Christian Pulisic
USA,Folarin Balogun
USA,Haji Wright
BIH,Nikola Vasilj
BIH,Arjan Malic
BIH,Nikola Katic
BIH,Stjepan Radeljic
BIH,Sead Kolasinac
BIH,Esmir Bajraktarevic
BIH,Ivan Sunjic
BIH,Ivan Basic
BIH,Kerim Alajbegovic
BIH,Ermedin Demirovic
BIH,Edin Dzeko
BIH,Martin Zlomislic
BIH,Mladen Jurkas
BIH,Amar Dedic
BIH,Dennis Hadzikadunic
BIH,Nihad Mujakic
BIH,Amar Memic
BIH,Amir Hadziahmetovic
BIH,Armin Gigovic
BIH,Benjamin Tahirovic
BIH,Dzenis Burnic
BIH,Ermin Mahmic
BIH,Haris Tabakovic
BIH,Jovo Lukic
BIH,Samed Bazdar
BEL,Thibaut Courtois
BEL,Timothy Castagne
BEL,Brandon Mechele
BEL,Arthur Theate
BEL,Maxim De Cuyper
BEL,Youri Tielemans
BEL,Hans Vanaken
BEL,Jérémy Doku
BEL,Kevin De Bruyne
BEL,Leandro Trossard
BEL,Charles De Ketelaere
BEL,Mike Penders
BEL,Senne Lammens
BEL,Joaquin Seys
BEL,Koni De Winter
BEL,Thomas Meunier
BEL,Alexis Saelemaekers
BEL,Amadou Onana
BEL,Axel Witsel
BEL,Diego Moreira
BEL,Nicolas Raskin
BEL,Dodi Lukébakio
BEL,Matias Fernandez-Pardo
BEL,Romelu Lukaku
SEN,Mory Diaw
SEN,Krépin Diatta
SEN,Abdoulaye Seck
SEN,Moussa Niakhaté
SEN,Ismail Jakobs
SEN,Habib Diarra
SEN,Idrissa Gana Gueye
SEN,Lamine Camara
SEN,Ibrahim Mbaye
SEN,Ismaïla Sarr
SEN,Sadio Mané
SEN,Yehvann Diouf
SEN,Antoine Mendy
SEN,Kalidou Koulibaly
SEN,Malick Diouf
SEN,Mamadou Sarr
SEN,Bara Ndiaye
SEN,Pape Gueye
SEN,Pape Sarr
SEN,Pathé Ciss
SEN,Assane Diao
SEN,Bamba Dieng
SEN,Cherif Ndiaye
SEN,Iliman Ndiaye
SEN,Nicolas Jackson
