team_code,n,att_1t,att_2t,def_1t,def_2t,gf_1t,gf_2t,ga_1t,ga_2t,xg_for_1t,xg_for_2t,xg_ag_1t,xg_ag_2t
FRA,15,0.40157706093189965,0.5984229390681004,0.5463247863247864,0.4536752136752136,11,20,8,5,0.508,1.6219999999999999,0.262,0.47400000000000003
MAR,7,0.4579904306220096,0.5420095693779904,0.44842105263157894,0.5515789473684211,5,6,3,4,0.9299999999999999,0.586,0.518,0.29799999999999993
ESP,19,0.48451612903225805,0.515483870967742,0.34831541218637996,0.65168458781362,23,23,5,13,0.952,0.9959999999999999,0.12,0.178
BEL,11,0.3994202898550725,0.6005797101449275,0.4791304347826087,0.5208695652173914,6,12,7,7,1.0260000000000002,0.906,0.526,0.5599999999999999
NOR,10,0.46622009569377987,0.5337799043062201,0.4240692640692641,0.575930735930736,9,10,8,13,0.9420000000000002,0.9339999999999999,0.798,0.826
ENG,8,0.4093333333333334,0.5906666666666667,0.4982222222222223,0.5017777777777777,5,10,5,4,0.852,1.1280000000000001,0.32199999999999995,0.514
ARG,19,0.44073732718894004,0.5592626728110599,0.48451612903225805,0.515483870967742,12,16,7,7,0.976,1.082,0.13,0.41000000000000003
SUI,12,0.37285714285714283,0.6271428571428572,0.4085714285714286,0.5914285714285714,6,15,5,9,0.916,0.9179999999999999,0.33199999999999996,0.392
