as_of_date,team_code,scorer,goals_weighted,share
2026-06-01,ALG,Mohamed Amoura,5.9543430199,0.2006017740
2026-06-01,ALG,Riyad Mahrez,4.7490829422,0.1599965705
2026-06-01,ALG,Baghdad Bounedjah,3.8309626243,0.1290651036
2026-06-01,ALG,Islam Slimani,2.3588720620,0.0794703830
2026-06-01,ALG,Ibrahim Maza,1.7231349474,0.0580524041
2026-06-01,ALG,Mohamed El Amine Amoura,1.3157316552,0.0443269901
2026-06-01,ALG,Farès Chaïbi,1.2766023992,0.0430087257
2026-06-01,ALG,Adil Boulbina,0.8694415454,0.0292914795
2026-06-01,ALG,Zineddine Belaïd,0.8644570458,0.0291235517
2026-06-01,ALG,Aïssa Mandi,0.8578336531,0.0289004097
2026-06-01,ALG,Sofiane Feghouli,0.7421503433,0.0250030398
2026-06-01,ALG,Jaouen Hadjam,0.6603922603,0.0222486105
2026-06-01,ALG,Amine Gouiri,0.6578658276,0.0221634951
2026-06-01,ALG,Ramiz Zerrouki,0.6021620384,0.0202868348
2026-06-01,ALG,Houssem Aouar,0.5011265344,0.0168829494
2026-06-01,ALG,Said Benrahma,0.5011265344,0.0168829494
2026-06-01,ALG,Youcef Belaïli,0.3811448601,0.0128407676
2026-06-01,ALG,Adam Ounas,0.2668790634,0.0089911537
2026-06-01,ALG,Ahmed Touba,0.2319281027,0.0078136561
2026-06-01,ALG,Sofiane Bendebka,0.2172973240,0.0073207453
2026-06-01,ALG,Saïd Benrahma,0.2033945067,0.0068523595
2026-06-01,ALG,Ismaël Bennacer,0.1974413928,0.0066517991
2026-06-01,ALG,Ramy Bensebaini,0.1900166850,0.0064016608
2026-06-01,ALG,Hillal Soudani,0.0891455606,0.0030033133
2026-06-01,ALG,Yacine Brahimi,0.0871725285,0.0029368419
2026-06-01,ALG,Faouzi Ghoulam,0.0687581151,0.0023164604
2026-06-01,ALG,Nabil Bentaleb,0.0542261794,0.0018268796
2026-06-01,ALG,Sofiane Hanni,0.0377334846,0.0012712408
2026-06-01,ALG,Carl Medjani,0.0370210219,0.0012472380
2026-06-01,ALG,Abdelmoumene Djabou,0.0307185283,0.0010349070
2026-06-01,ALG,Saphir Sliti Taïder,0.0206352166,0.0006952003
2026-06-01,ALG,Rafik Halliche,0.0185402103,0.0006246196
2026-06-01,ALG,Madjid Bougherra,0.0183770428,0.0006191224
2026-06-01,ALG,Nabil Ghilas,0.0106510750,0.0003588346
2026-06-01,ALG,Rafik Saïfi,0.0077496673,0.0002610862
2026-06-01,ALG,Antar Yahia,0.0076066819,0.0002562691
2026-06-01,ALG,Karim Ziani,0.0066499284,0.0002240360
2026-06-01,ALG,Karim Matmour,0.0058925063,0.0001985185
2026-06-01,ALG,Abdelkader Ghezzal,0.0055794057,0.0001879701
2026-06-01,ALG,Rafik Djebbour,0.0044675022,0.0001505101
2026-06-01,ALG,Hameur Bouazza,0.0032710125,0.0001102004
2026-06-01,ALG,Nadir Belhadj,0.0029579118,0.0000996520
2026-06-01,ALG,Mansour Boutabout,0.0026886468,0.0000905805
2026-06-01,ALG,Abdelmalek Cherrad,0.0016155922,0.0000544293
2026-06-01,ALG,Nassim Akrour,0.0013211958,0.0000445111
2026-06-01,ALG,Hocine Achiou,0.0008065070,0.0000271712
2026-06-01,ALG,Hamza Yacef,0.0007040037,0.0000237179
2026-06-01,ALG,Sofiane Daoud,0.0006539289,0.0000220309
2026-06-01,ALG,Fares Aouni,0.0006518625,0.0000219612
2026-06-01,ALG,Isâad Bourahli,0.0006205619,0.0000209067
2026-06-01,ALG,Abdelhafid Tasfaout,0.0005733467,0.0000193160
2026-06-01,ALG,Mamar Mamouni,0.0004022875,0.0000135531
2026-06-01,ALG,Brahim Zafour,0.0004007485,0.0000135012
2026-06-01,ALG,Ali Meçabih,0.0003107974,0.0000104708
2026-06-01,ALG,Nasreddine Kraouche,0.0001991012,0.0000067077
2026-06-01,ALG,Billel Dziri,0.0001736448,0.0000058501
2026-06-01,ALG,Yacine Bezzaz,0.0001662782,0.0000056019
2026-06-01,ALG,Djamel Belmadi,0.0001404724,0.0000047325
2026-06-01,ALG,Fawzi Moussouni,0.0000995838,0.0000033550
2026-06-01,ALG,Farid Ghazi,0.0000992029,0.0000033421
2026-06-01,ALG,Moussa Saïb,0.0000530124,0.0000017860
2026-06-01,ALG,Sid Ahmed Zerrouki,0.0000275761,0.0000009290
2026-06-01,ALG,Tarek Lazizi,0.0000244163,0.0000008226
2026-06-01,ALG,Khaled Lounici,0.0000243462,0.0000008202
2026-06-01,ALG,Djamel Menad,0.0000219022,0.0000007379
2026-06-01,ALG,Rabah Madjer,0.0000169731,0.0000005718
2026-06-01,ALG,Mourad Meziane,0.0000164946,0.0000005557
2026-06-01,ALG,Djamel Amani,0.0000093189,0.0000003140
2026-06-01,ALG,Mohamed Brahimi,0.0000087997,0.0000002965
2026-06-01,ALG,Chérif Oudjani,0.0000062315,0.0000002099
2026-06-01,ALG,Nacer Bouiche,0.0000059636,0.0000002009
2026-06-01,ALG,Lakhdar Belloumi,0.0000049969,0.0000001683
2026-06-01,ALG,Tahar Chérif El-Ouazzani,0.0000030993,0.0000001044
2026-06-01,ALG,Tedj Bensaoula,0.0000023364,0.0000000787
2026-06-01,ALG,Rachid Maâtar,0.0000015666,0.0000000528
2026-06-01,ALG,Abdelkader Ferhaoui,0.0000015606,0.0000000526
2026-06-01,ALG,Djamel Zidane,0.0000011875,0.0000000400
2026-06-01,ALG,Hocine Yahi,0.0000010537,0.0000000355
2026-06-01,ALG,Nasser Bouiche,0.0000009422,0.0000000317
2026-06-01,ALG,Salah Assad,0.0000008940,0.0000000301
2026-06-01,ALG,Karim Maroc,0.0000007709,0.0000000260
2026-06-01,ALG,Mohamed Kaci-Saïd,0.0000006620,0.0000000223
2026-06-01,ALG,Ali Fergani,0.0000006055,0.0000000204
2026-06-01,ALG,Faouzi Mansouri,0.0000005624,0.0000000189
2026-06-01,ALG,Chaabane Merzekane,0.0000001888,0.0000000064
2026-06-01,ALG,Nourredine Kourichi,0.0000001403,0.0000000047
2026-06-01,ALG,Rabah Gamouh,0.0000001303,0.0000000044
2026-06-01,ALG,Hocine Benmiloudi,0.0000000949,0.0000000032
2026-06-01,ALG,Mahmoud Guendouz,0.0000000326,0.0000000011
2026-06-01,ALG,Omar Betrouni,0.0000000237,0.0000000008
2026-06-01,ALG,Mokhtar Kalem,0.0000000070,0.0000000002
2026-06-01,ALG,Hacène Lalmas,0.0000000040,0.0000000001
2026-06-01,ALG,Boualem Amirouche,0.0000000031,0.0000000001
2026-06-01,ARG,Lionel Messi,9.8017816076,0.2614757683
2026-06-01,ARG,Lautaro Martínez,7.3259132637,0.1954286349
2026-06-01,ARG,Julián Alvarez,2.4786296868,0.0661207959
2026-06-01,ARG,Julián Álvarez,2.4356601272,0.0649745249
2026-06-01,ARG,Thiago Almada,1.9348063954,0.0516135749
2026-06-01,ARG,Ángel Di María,1.6274475720,0.0434143629
2026-06-01,ARG,Alexis Mac Allister,1.4986691807,0.0399790254
2026-06-01,ARG,Nicolás González,1.4519144306,0.0387317792
2026-06-01,ARG,Nicolás Otamendi,1.4372451587,0.0383404566
2026-06-01,ARG,Enzo Fernández,1.3389968225,0.0357195495
2026-06-01,ARG,Paulo Dybala,0.8805075285,0.0234887280
2026-06-01,ARG,Giuliano Simeone,0.6603922603,0.0176168558
2026-06-01,ARG,Lisandro Martínez,0.5127849618,0.0136792317
2026-06-01,ARG,Sergio Agüero,0.4657567130,0.0124246896
2026-06-01,ARG,Nicolás Tagliafico,0.3861458848,0.0103009632
2026-06-01,ARG,Rodrigo De Paul,0.3762913653,0.0100380806
2026-06-01,ARG,Papu Gómez,0.3555502070,0.0094847822
2026-06-01,ARG,Joaquín Correa,0.3293180396,0.0087850037
2026-06-01,ARG,Gonzalo Higuaín,0.3095442220,0.0082575104
2026-06-01,ARG,Nahuel Molina,0.2961246866,0.0078995261
2026-06-01,ARG,Ángel Correa,0.1900166850,0.0050689518
2026-06-01,ARG,Guido Rodríguez,0.1766702593,0.0047129179
2026-06-01,ARG,Cristian Romero,0.1749854059,0.0046679721
2026-06-01,ARG,Leandro Paredes,0.1749854059,0.0046679721
2026-06-01,ARG,Gabriel Mercado,0.1192172036,0.0031802800
2026-06-01,ARG,Ezequiel Lavezzi,0.1164289217,0.0031058988
2026-06-01,ARG,Marcos Rojo,0.0995030057,0.0026543771
2026-06-01,ARG,Giovani Lo Celso,0.0885341548,0.0023617682
2026-06-01,ARG,Lucas Pratto,0.0686096095,0.0018302540
2026-06-01,ARG,Erik Lamela,0.0612986081,0.0016352232
2026-06-01,ARG,Maxi Rodríguez,0.0409572649,0.0010925904
2026-06-01,ARG,Éver Banega,0.0402694116,0.0010742410
2026-06-01,ARG,Ramiro Funes Mori,0.0341216428,0.0009102409
2026-06-01,ARG,Víctor Cuesta,0.0305905649,0.0008160447
2026-06-01,ARG,Lucas Biglia,0.0250145984,0.0006672982
2026-06-01,ARG,Javier Pastore,0.0218741353,0.0005835221
2026-06-01,ARG,Juan Román Riquelme,0.0165424114,0.0004412912
2026-06-01,ARG,Rodrigo Palacio,0.0138569214,0.0003696521
2026-06-01,ARG,Carlos Tevez,0.0132323624,0.0003529911
2026-06-01,ARG,Hernán Crespo,0.0117834755,0.0003143401
2026-06-01,ARG,Martín Palermo,0.0069714713,0.0001859734
2026-06-01,ARG,Luciano Figueroa,0.0051906072,0.0001384665
2026-06-01,ARG,Gabriel Heinze,0.0050813107,0.0001355508
2026-06-01,ARG,Lucho González,0.0039153923,0.0001044484
2026-06-01,ARG,Martín Demichelis,0.0037730303,0.0001006507
2026-06-01,ARG,Esteban Cambiasso,0.0036041490,0.0000961455
2026-06-01,ARG,Javier Saviola,0.0035107307,0.0000936535
2026-06-01,ARG,Pablo Aimar,0.0031836046,0.0000849270
2026-06-01,ARG,Mario Bolatti,0.0029664273,0.0000791335
2026-06-01,ARG,Jesús Dátolo,0.0028576129,0.0000762307
2026-06-01,ARG,Javier Mascherano,0.0026769597,0.0000714115
2026-06-01,ARG,Daniel Díaz,0.0026189830,0.0000698649
2026-06-01,ARG,Kily González,0.0020080354,0.0000535671
2026-06-01,ARG,Juan Pablo Sorín,0.0018393797,0.0000490679
2026-06-01,ARG,Roberto Ayala,0.0015171584,0.0000404722
2026-06-01,ARG,Gabriel Batistuta,0.0015040353,0.0000401222
2026-06-01,ARG,Gabriel Milito,0.0014752031,0.0000393530
2026-06-01,ARG,Diego Milito,0.0013327192,0.0000355521
2026-06-01,ARG,Claudio López,0.0008869443,0.0000236604
2026-06-01,ARG,Andrés D'Alessandro,0.0008433356,0.0000224971
2026-06-01,ARG,César Delgado,0.0008282129,0.0000220937
2026-06-01,ARG,Juan Sebastián Verón,0.0006920534,0.0000184615
2026-06-01,ARG,Marcelo Gallardo,0.0006517014,0.0000173850
2026-06-01,ARG,Luciano Galletti,0.0006027771,0.0000160799
2026-06-01,ARG,Ariel Ortega,0.0005991568,0.0000159833
2026-06-01,ARG,Javier Zanetti,0.0005701609,0.0000152098
2026-06-01,ARG,Fabricio Coloccini,0.0004962219,0.0000132374
2026-06-01,ARG,Mauro Rosales,0.0004962219,0.0000132374
2026-06-01,ARG,Walter Samuel,0.0003336904,0.0000089016
2026-06-01,ARG,Diego Simeone,0.0001992907,0.0000053163
2026-06-01,ARG,Mauricio Pochettino,0.0001791827,0.0000047799
2026-06-01,ARG,Claudio Husaín,0.0001311074,0.0000034975
2026-06-01,ARG,MaNicolás Oliveratias Almeyda,0.0001177653,0.0000031415
2026-06-01,ARG,Gustavo Adrián López,0.0001120409,0.0000029888
2026-06-01,ARG,Abel Balbo,0.0000857819,0.0000022883
2026-06-01,ARG,Claudio Caniggia,0.0000687525,0.0000018341
2026-06-01,ARG,Mauricio Pineda,0.0000567960,0.0000015151
2026-06-01,ARG,Fernando Cáceres,0.0000459124,0.0000012248
2026-06-01,ARG,Ramón Medina Bello,0.0000413574,0.0000011033
2026-06-01,ARG,Pablo Paz,0.0000409644,0.0000010928
2026-06-01,ARG,Sergio Berti,0.0000395754,0.0000010557
2026-06-01,ARG,Néstor Gorosito,0.0000369016,0.0000009844
2026-06-01,ARG,Hugo Morales,0.0000312045,0.0000008324
2026-06-01,ARG,Jose Albornoz,0.0000312045,0.0000008324
2026-06-01,ARG,Diego Maradona,0.0000240617,0.0000006419
2026-06-01,ARG,Leonardo Rodríguez,0.0000176580,0.0000004711
2026-06-01,ARG,José Chamot,0.0000168995,0.0000004508
2026-06-01,ARG,Sebastián Rambert,0.0000168995,0.0000004508
2026-06-01,ARG,Oscar Ruggeri,0.0000106478,0.0000002840
2026-06-01,ARG,Fernando Redondo,0.0000102873,0.0000002744
2026-06-01,ARG,Darío Franco,0.0000099991,0.0000002667
2026-06-01,ARG,Alberto Acosta,0.0000077467,0.0000002067
2026-06-01,ARG,Ricardo Altamirano,0.0000077467,0.0000002067
2026-06-01,ARG,Jorge Burruchaga,0.0000066323,0.0000001769
2026-06-01,ARG,Claudio García,0.0000049852,0.0000001330
2026-06-01,ARG,Diego Latorre,0.0000049852,0.0000001330
2026-06-01,ARG,Néstor Craviotto,0.0000049852,0.0000001330
2026-06-01,ARG,Leonardo Astrada,0.0000049757,0.0000001327
2026-06-01,ARG,Jorge Valdano,0.0000039521,0.0000001054
2026-06-01,ARG,Pedro Monzón,0.0000034274,0.0000000914
2026-06-01,ARG,Pedro Troglio,0.0000034110,0.0000000910
2026-06-01,ARG,Pedro Pasculli,0.0000026195,0.0000000699
2026-06-01,ARG,Daniel Passarella,0.0000012079,0.0000000322
2026-06-01,ARG,Ricardo Gareca,0.0000009179,0.0000000245
2026-06-01,ARG,José Luis Brown,0.0000008541,0.0000000228
2026-06-01,ARG,Miguel Ángel Russo,0.0000005906,0.0000000158
2026-06-01,ARG,Néstor Clausen,0.0000005906,0.0000000158
2026-06-01,ARG,Daniel Bertoni,0.0000005202,0.0000000139
2026-06-01,ARG,Mario Kempes,0.0000003656,0.0000000098
2026-06-01,ARG,Víctor Rogelio Ramos,0.0000003196,0.0000000085
2026-06-01,ARG,Leopoldo Luque,0.0000002798,0.0000000075
2026-06-01,ARG,Osvaldo Ardiles,0.0000002461,0.0000000066
2026-06-01,ARG,Ramón Díaz,0.0000002112,0.0000000056
2026-06-01,ARG,René Houseman,0.0000000898,0.0000000024
2026-06-01,ARG,Roberto Osvaldo Díaz,0.0000000777,0.0000000021
2026-06-01,ARG,Jorge Gáspari,0.0000000766,0.0000000020
2026-06-01,ARG,Hugo Coscia,0.0000000761,0.0000000020
2026-06-01,ARG,Carlos Ángel López,0.0000000750,0.0000000020
2026-06-01,ARG,Rubén Ayala,0.0000000617,0.0000000016
2026-06-01,ARG,Daniel Killer,0.0000000568,0.0000000015
2026-06-01,ARG,Alberto Tarantini,0.0000000515,0.0000000014
2026-06-01,ARG,Mario Zanabria,0.0000000378,0.0000000010
2026-06-01,ARG,Miguel Ángel Brindisi,0.0000000322,0.0000000009
2026-06-01,ARG,Héctor Yazalde,0.0000000255,0.0000000007
2026-06-01,ARG,Américo Gallego,0.0000000189,0.0000000005
2026-06-01,ARG,Ramón Bóveda,0.0000000189,0.0000000005
2026-06-01,ARG,Julio Asad,0.0000000188,0.0000000005
2026-06-01,ARG,Carlos Babington,0.0000000126,0.0000000003
2026-06-01,ARG,Ramón Heredia,0.0000000126,0.0000000003
2026-06-01,ARG,Carlos Guerini,0.0000000099,0.0000000003
2026-06-01,ARG,Oscar Fornari,0.0000000098,0.0000000003
2026-06-01,ARG,Luis Artime,0.0000000089,0.0000000002
2026-06-01,ARG,Rafael Albrecht,0.0000000057,0.0000000002
2026-06-01,ARG,Raúl Bernao,0.0000000030,0.0000000001
2026-06-01,ARG,Ermindo Onega,0.0000000025,0.0000000001
2026-06-01,ARG,Alberto Rendo,0.0000000024,0.0000000001
2026-06-01,ARG,Aníbal Tarabini,0.0000000023,0.0000000001
2026-06-01,ARG,Mario Rodríguez,0.0000000012,0.0000000000
2026-06-01,ARG,Raúl Armando Savoy,0.0000000010,0.0000000000
2026-06-01,ARG,Juan Carlos Sarnari,0.0000000010,0.0000000000
2026-06-01,ARG,Juan Carlos Carone,0.0000000010,0.0000000000
2026-06-01,ARG,Silvio Marzolini,0.0000000010,0.0000000000
2026-06-01,ARG,Oscar Mas,0.0000000009,0.0000000000
2026-06-01,ARG,José Sanfilippo,0.0000000009,0.0000000000
2026-06-01,ARG,Oreste Corbatta,0.0000000008,0.0000000000
2026-06-01,ARG,Roberto Zárate,0.0000000008,0.0000000000
2026-06-01,ARG,Rubén Héctor Sosa,0.0000000005,0.0000000000
2026-06-01,ARG,Humberto Maschio,0.0000000003,0.0000000000
2026-06-01,ARG,Juan José Pizzuti,0.0000000003,0.0000000000
2026-06-01,ARG,Juan Carlos Lallana,0.0000000002,0.0000000000
2026-06-01,ARG,Ernesto Humberto Juárez,0.0000000002,0.0000000000
2026-06-01,ARG,Jorge Hugo Fernández,0.0000000002,0.0000000000
2026-06-01,ARG,Antonio Valentín Angelillo,0.0000000002,0.0000000000
2026-06-01,ARG,Martín Pando,0.0000000002,0.0000000000
2026-06-01,ARG,Héctor Facundo,0.0000000002,0.0000000000
2026-06-01,ARG,Raúl Belén,0.0000000002,0.0000000000
2026-06-01,ARG,Norberto Menéndez,0.0000000002,0.0000000000
2026-06-01,ARG,Pedro Eugenio Callá,0.0000000001,0.0000000000
2026-06-01,ARG,Pedro Waldemar Manfredini,0.0000000001,0.0000000000
2026-06-01,ARG,Rodolfo Micheli,0.0000000001,0.0000000000
2026-06-01,ARG,Omar Sívori,0.0000000001,0.0000000000
2026-06-01,ARG,Ricardo José Maria Ramaciotti,0.0000000001,0.0000000000
2026-06-01,ARG,Ángel Labruna,0.0000000001,0.0000000000
2026-06-01,ARG,Omar Higinio García,0.0000000001,0.0000000000
2026-06-01,ARG,Vladislao Cap,0.0000000001,0.0000000000
2026-06-01,ARG,Osvaldo Héctor Cruz,0.0000000001,0.0000000000
2026-06-01,ARG,Ludovico Avio,0.0000000000,0.0000000000
2026-06-01,ARG,José Borello,0.0000000000,0.0000000000
2026-06-01,ARG,Eliseo Prado,0.0000000000,0.0000000000
2026-06-01,ARG,Norberto Conde,0.0000000000,0.0000000000
2026-06-01,ARG,Carlos Cecconato,0.0000000000,0.0000000000
2026-06-01,ARG,Ernesto Grillo,0.0000000000,0.0000000000
2026-06-01,ARG,Federico Vairo,0.0000000000,0.0000000000
2026-06-01,ARG,Ricardo Bonelli,0.0000000000,0.0000000000
2026-06-01,ARG,Norberto Doroteo Méndez,0.0000000000,0.0000000000
2026-06-01,ARG,Alfredo Di Stéfano,0.0000000000,0.0000000000
2026-06-01,ARG,René Pontoni,0.0000000000,0.0000000000
2026-06-01,ARG,Félix Loustau,0.0000000000,0.0000000000
2026-06-01,ARG,Mario Boyé,0.0000000000,0.0000000000
2026-06-01,ARG,José Manuel Moreno,0.0000000000,0.0000000000
2026-06-01,ARG,Rinaldo Martino,0.0000000000,0.0000000000
2026-06-01,ARG,Vicente de la Mata,0.0000000000,0.0000000000
2026-06-01,ARG,Adolfo Pedernera,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Carlos Salvini,0.0000000000,0.0000000000
2026-06-01,ARG,Mario Fernández,0.0000000000,0.0000000000
2026-06-01,ARG,Herminio Masantonio,0.0000000000,0.0000000000
2026-06-01,ARG,José Luis Ferraro,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Marvezzi,0.0000000000,0.0000000000
2026-06-01,ARG,Enrique García,0.0000000000,0.0000000000
2026-06-01,ARG,Manuel Pellegrina,0.0000000000,0.0000000000
2026-06-01,ARG,Angel Perucca,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Carlos Heredia,0.0000000000,0.0000000000
2026-06-01,ARG,Raimundo Sandoval,0.0000000000,0.0000000000
2026-06-01,ARG,Alberto Zozaya,0.0000000000,0.0000000000
2026-06-01,ARG,Antonio Sastre,0.0000000000,0.0000000000
2026-06-01,ARG,Francisco Varallo,0.0000000000,0.0000000000
2026-06-01,ARG,Alejandro Scopelli,0.0000000000,0.0000000000
2026-06-01,ARG,Diego García,0.0000000000,0.0000000000
2026-06-01,ARG,Guillermo Stábile,0.0000000000,0.0000000000
2026-06-01,ARG,Manuel Ferreira,0.0000000000,0.0000000000
2026-06-01,ARG,Domingo Tarasconi,0.0000000000,0.0000000000
2026-06-01,ARG,Arturo Arrieta,0.0000000000,0.0000000000
2026-06-01,ARG,Miguel Angel Lauri,0.0000000000,0.0000000000
2026-06-01,ARG,Alberto Galateo,0.0000000000,0.0000000000
2026-06-01,ARG,Ernesto Belis,0.0000000000,0.0000000000
2026-06-01,ARG,Carlos Peucelle,0.0000000000,0.0000000000
2026-06-01,ARG,Adolfo Zumelzú,0.0000000000,0.0000000000
2026-06-01,ARG,Roberto Cherro,0.0000000000,0.0000000000
2026-06-01,ARG,Mario Evaristo,0.0000000000,0.0000000000
2026-06-01,ARG,Luis Monti,0.0000000000,0.0000000000
2026-06-01,ARG,Manuel Seoane,0.0000000000,0.0000000000
2026-06-01,ARG,Gabino Sosa,0.0000000000,0.0000000000
2026-06-01,ARG,Raimondo Orsi,0.0000000000,0.0000000000
2026-06-01,ARG,Alfredo Carricaberry,0.0000000000,0.0000000000
2026-06-01,ARG,Segundo Luna,0.0000000000,0.0000000000
2026-06-01,ARG,Benjamín Delgado,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Maglio,0.0000000000,0.0000000000
2026-06-01,ARG,Humberto Recanatini,0.0000000000,0.0000000000
2026-06-01,ARG,Antonio de Miguel,0.0000000000,0.0000000000
2026-06-01,ARG,Vicente Aguirre,0.0000000000,0.0000000000
2026-06-01,ARG,Julio Francia,0.0000000000,0.0000000000
2026-06-01,ARG,Blas Saruppo,0.0000000000,0.0000000000
2026-06-01,ARG,Antonio Cerroti,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Carlos Irurieta,0.0000000000,0.0000000000
2026-06-01,ARG,Alfredo Garasini,0.0000000000,0.0000000000
2026-06-01,ARG,Martin Sánchez,0.0000000000,0.0000000000
2026-06-01,ARG,Julio Libonatti,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Loyarte,0.0000000000,0.0000000000
2026-06-01,ARG,Raúl Echeverría,0.0000000000,0.0000000000
2026-06-01,ARG,Cesáreo Onzari,0.0000000000,0.0000000000
2026-06-01,ARG,Angel Chiessa,0.0000000000,0.0000000000
2026-06-01,ARG,José Gaslini,0.0000000000,0.0000000000
2026-06-01,ARG,Edwin Clarcke,0.0000000000,0.0000000000
2026-06-01,ARG,Carlos Izaguirre,0.0000000000,0.0000000000
2026-06-01,ARG,Alberto Ohaco,0.0000000000,0.0000000000
2026-06-01,ARG,Miguel Dellavalle,0.0000000000,0.0000000000
2026-06-01,ARG,Alberto Marcovecchio,0.0000000000,0.0000000000
2026-06-01,ARG,Juan Domingo Brown,0.0000000000,0.0000000000
2026-06-01,ARG,Antonio Blanco,0.0000000000,0.0000000000
2026-06-01,ARG,Pedro Calomino,0.0000000000,0.0000000000
2026-06-01,ARG,José Durand Laguna,0.0000000000,0.0000000000
2026-06-01,AUS,Jackson Irvine,3.5048545593,0.1035146884
2026-06-01,AUS,Kusini Yengi,3.1389168119,0.0927068414
2026-06-01,AUS,Craig Goodwin,2.8888247740,0.0853204580
2026-06-01,AUS,Martin Boyle,2.6002180821,0.0767965574
2026-06-01,AUS,Jamie Maclaren,2.3133616169,0.0683243492
2026-06-01,AUS,Mitchell Duke,2.0547087401,0.0606851244
2026-06-01,AUS,Harry Souttar,2.0078054935,0.0592998530
2026-06-01,AUS,Nishan Velupillay,1.8809012440,0.0555517791
2026-06-01,AUS,Lewis Miller,1.2205089837,0.0360473181
2026-06-01,AUS,Ajdin Hrustic,1.1188186580,0.0330439289
2026-06-01,AUS,Mathew Leckie,0.9839282323,0.0290599860
2026-06-01,AUS,Adam Taggart,0.7993182891,0.0236075940
2026-06-01,AUS,Connor Metcalfe,0.7109620628,0.0209980229
2026-06-01,AUS,Mitch Duke,0.7109620628,0.0209980229
2026-06-01,AUS,Aziz Behich,0.7075638212,0.0208976570
2026-06-01,AUS,Awer Mabil,0.5375428112,0.0158761443
2026-06-01,AUS,Mile Jedinak,0.5285025563,0.0156091434
2026-06-01,AUS,Tom Rogic,0.5127100289,0.0151427165
2026-06-01,AUS,Nestory Irankunda,0.5016069679,0.0148147913
2026-06-01,AUS,Tim Cahill,0.4780752482,0.0141197900
2026-06-01,AUS,John Iredale,0.4659283197,0.0137610346
2026-06-01,AUS,Keanu Baccus,0.4637012852,0.0136952599
2026-06-01,AUS,Kye Rowles,0.4637012852,0.0136952599
2026-06-01,AUS,Jordan Bos,0.4344495008,0.0128313184
2026-06-01,AUS,Brandon Borrello,0.4109622427,0.0121376302
2026-06-01,AUS,Aaron Mooy,0.3665451397,0.0108257861
2026-06-01,AUS,Tomi Juric,0.2626417060,0.0077570335
2026-06-01,AUS,Trent Sainsbury,0.2278124952,0.0067283646
2026-06-01,AUS,Riley McGree,0.2187597962,0.0064609962
2026-06-01,AUS,Rhyan Grant,0.1909292848,0.0056390315
2026-06-01,AUS,Fran Karačić,0.1754891677,0.0051830129
2026-06-01,AUS,Massimo Luongo,0.1271856368,0.0037563846
2026-06-01,AUS,Mark Milligan,0.1140258101,0.0033677136
2026-06-01,AUS,Robbie Kruse,0.0823011295,0.0024307359
2026-06-01,AUS,James Troisi,0.0813553940,0.0024028039
2026-06-01,AUS,Nathan Burns,0.0798376798,0.0023579787
2026-06-01,AUS,Chris Ikonomidis,0.0756589523,0.0022345614
2026-06-01,AUS,Apostolos Giannou,0.0753695073,0.0022260128
2026-06-01,AUS,Joshua Kennedy,0.0401421021,0.0011855833
2026-06-01,AUS,Brett Holman,0.0341405017,0.0010083281
2026-06-01,AUS,Tommy Oar,0.0321828083,0.0009505083
2026-06-01,AUS,Harry Kewell,0.0297623791,0.0008790218
2026-06-01,AUS,Brett Emerton,0.0231971939,0.0006851212
2026-06-01,AUS,Archie Thompson,0.0210499268,0.0006217024
2026-06-01,AUS,Alex Brosque,0.0193651395,0.0005719428
2026-06-01,AUS,Jason Davidson,0.0188730456,0.0005574090
2026-06-01,AUS,Matt McKay,0.0186215456,0.0005499810
2026-06-01,AUS,Mark Bresciano,0.0156864699,0.0004632946
2026-06-01,AUS,Luke Wilkshire,0.0132863806,0.0003924087
2026-06-01,AUS,Lucas Neill,0.0106715073,0.0003151793
2026-06-01,AUS,David Carney,0.0072741657,0.0002148400
2026-06-01,AUS,John Aloisi,0.0071473311,0.0002110940
2026-06-01,AUS,Mark Viduka,0.0055020085,0.0001625000
2026-06-01,AUS,Carl Valeri,0.0046451248,0.0001371922
2026-06-01,AUS,Saša Ognenovski,0.0046451248,0.0001371922
2026-06-01,AUS,Scott Chipperfield,0.0042750024,0.0001262607
2026-06-01,AUS,Mile Sterjovski,0.0039868716,0.0001177509
2026-06-01,AUS,David Zdrilic,0.0028161456,0.0000831739
2026-06-01,AUS,Josip Skoko,0.0022885268,0.0000675909
2026-06-01,AUS,Damian Mori,0.0021983129,0.0000649264
2026-06-01,AUS,Ahmad Elrich,0.0014812493,0.0000437482
2026-06-01,AUS,Joel Porter,0.0014005808,0.0000413657
2026-06-01,AUS,Michael Beauchamp,0.0013507188,0.0000398930
2026-06-01,AUS,Ante Milicic,0.0012612008,0.0000372491
2026-06-01,AUS,Kevin Muscat,0.0012452453,0.0000367779
2026-06-01,AUS,Bobby Despotovski,0.0011644692,0.0000343922
2026-06-01,AUS,Craig Moore,0.0009304178,0.0000274796
2026-06-01,AUS,Adrian Madaschi,0.0009069571,0.0000267867
2026-06-01,AUS,Tony Popovic,0.0008695217,0.0000256810
