draw_order,date,stage,home_code,away_code,source
1,2026-07-09,QF,FRA,MAR,fotmob_official
2,2026-07-10,QF,ESP,BEL,fotmob_official
3,2026-07-11,QF,NOR,ENG,fotmob_official
4,2026-07-11,QF,ARG,SUI,fotmob_official
