draw_order,date,stage,home_code,away_code,source
1,2026-07-04,R16,PAR,FRA,fotmob_official
2,2026-07-04,R16,CAN,MAR,fotmob_official
3,2026-07-06,R16,POR,ESP,fotmob_official
4,2026-07-06,R16,USA,BEL,fotmob_official
5,2026-07-05,R16,BRA,NOR,fotmob_official
6,2026-07-05,R16,MEX,ENG,fotmob_official
7,2026-07-07,R16,ARG,EGY,fotmob_official
8,2026-07-07,R16,SUI,COL,fotmob_official
